"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 09 10:27:30 UTC 2026","Thu Apr 09 10:27:31 UTC 2026","1381","","org.example.tests.CartTest","","org.example.tests.CartTest","cartItemCountMatchesNumberOfProductsAdded","cartItemCountMatchesNumberOfProductsAdded(int) add 2 item(s) -> cart has 2 item(s)","Cart item count matches the number of products added (boundary: 1, 2, 3, 6)"
"passed","Thu Apr 09 10:28:12 UTC 2026","Thu Apr 09 10:28:14 UTC 2026","1662","","org.example.tests.CheckoutTest","","org.example.tests.CheckoutTest","emptyFirstNameShowsError","emptyFirstNameShowsError()","Submitting checkout with empty first name shows first-name validation error"
"passed","Thu Apr 09 10:28:23 UTC 2026","Thu Apr 09 10:28:25 UTC 2026","1197","","org.example.tests.ProductsTest","","org.example.tests.ProductsTest","productDetailPageShowsPriceAndDescription","productDetailPageShowsPriceAndDescription()","Product detail page shows price in correct $X.XX format and non-blank description"
"passed","Thu Apr 09 10:28:04 UTC 2026","Thu Apr 09 10:28:05 UTC 2026","1030","","org.example.tests.LoginTest","","org.example.tests.LoginTest","invalidCredentialCombinationsShowMismatchError","invalidCredentialCombinationsShowMismatchError(String, String, String) user='bad_user' pass='secret_sauce' -> error contains 'Username and password do not match'","Invalid credential combinations show the mismatch error"
"passed","Thu Apr 09 10:28:10 UTC 2026","Thu Apr 09 10:28:12 UTC 2026","1754","","org.example.tests.CheckoutTest","","org.example.tests.CheckoutTest","validShippingInfoShowsOrderSummary","validShippingInfoShowsOrderSummary()","Valid shipping info shows order summary with item names and total price"
"passed","Thu Apr 09 10:28:26 UTC 2026","Thu Apr 09 10:28:27 UTC 2026","1058","","org.example.tests.ProductsTest","","org.example.tests.ProductsTest","priceSortOptionsProduceCorrectOrder","priceSortOptionsProduceCorrectOrder(String, boolean) sort='hilo' -> ascending=false","Price sort options produce correct numeric ordering"
"passed","Thu Apr 09 10:28:01 UTC 2026","Thu Apr 09 10:28:02 UTC 2026","1048","","org.example.tests.LoginTest","","org.example.tests.LoginTest","whitespaceOnlyUsernameIsRejected","whitespaceOnlyUsernameIsRejected(String) username='  '","Whitespace-only username is rejected with an error"
"passed","Thu Apr 09 10:28:21 UTC 2026","Thu Apr 09 10:28:22 UTC 2026","1358","","org.example.tests.CheckoutTest","","org.example.tests.CheckoutTest","cancelFromCheckoutStepOneReturnsToCart","cancelFromCheckoutStepOneReturnsToCart()","Cancel from checkout step one returns to cart"
"passed","Thu Apr 09 10:28:19 UTC 2026","Thu Apr 09 10:28:21 UTC 2026","2360","","org.example.tests.CheckoutTest","","org.example.tests.CheckoutTest","orderSummaryListsAllCartItems","orderSummaryListsAllCartItems()","Order summary lists all items added to cart before checkout"
"passed","Thu Apr 09 10:28:29 UTC 2026","Thu Apr 09 10:28:30 UTC 2026","1176","","org.example.tests.ProductsTest","","org.example.tests.ProductsTest","cartBadgeCountMatchesItemsAdded","cartBadgeCountMatchesItemsAdded(int) add 1 item(s) -> badge=1","Cart badge count matches items added (boundary: 1 and 6)"
"passed","Thu Apr 09 10:27:49 UTC 2026","Thu Apr 09 10:27:50 UTC 2026","1187","","org.example.tests.LoginTest","","org.example.tests.LoginTest","emptyPasswordShowsError","emptyPasswordShowsError()","Submitting with empty password shows a validation error"
"passed","Thu Apr 09 10:28:15 UTC 2026","Thu Apr 09 10:28:17 UTC 2026","1643","","org.example.tests.CheckoutTest","","org.example.tests.CheckoutTest","emptyRequiredFieldShowsValidationError","emptyRequiredFieldShowsValidationError(ShippingInfo, String) shipping=ShippingInfo[firstName=John, lastName=, postalCode=12345] -> error contains 'Last Name is required'","Each empty required field shows its specific validation error"
"passed","Thu Apr 09 10:27:31 UTC 2026","Thu Apr 09 10:27:32 UTC 2026","1439","","org.example.tests.CartTest","","org.example.tests.CartTest","cartItemCountMatchesNumberOfProductsAdded","cartItemCountMatchesNumberOfProductsAdded(int) add 3 item(s) -> cart has 3 item(s)","Cart item count matches the number of products added (boundary: 1, 2, 3, 6)"
